Date,Time,Weekday,CPU_Usage,Disk_Activity_KB,Idle
2025-03-22,03:14:53,Saturday,1.3,4.0,0
2025-03-22,03:14:59,Saturday,0.0,64.0,0
2025-03-22,03:15:06,Saturday,7.1,0.0,0
2025-03-22,03:15:12,Saturday,0.0,164.0,0
2025-03-22,03:15:18,Saturday,0.0,0.0,0
2025-03-22,03:15:24,Saturday,0.0,4.0,0
2025-03-22,03:15:30,Saturday,1.3,0.0,0
2025-03-22,03:15:36,Saturday,6.0,12.0,0
2025-03-22,03:15:42,Saturday,0.0,80.0,0
2025-03-22,03:15:48,Saturday,0.0,12.0,0
2025-03-22,03:15:54,Saturday,0.0,0.0,0
2025-03-22,03:16:00,Saturday,0.0,152.0,0
2025-03-22,03:16:07,Saturday,2.4,4.0,0
2025-03-22,03:16:13,Saturday,4.2,100.0,0
2025-03-22,03:16:19,Saturday,0.0,20.0,0
2025-03-22,03:16:25,Saturday,3.3,20.0,0
2025-03-22,03:16:31,Saturday,3.7,24.0,0
2025-03-22,03:16:37,Saturday,1.4,4.0,0
2025-03-22,03:16:43,Saturday,4.1,220.0,0
2025-03-22,03:16:49,Saturday,5.5,184.0,0
2025-03-22,03:16:55,Saturday,17.4,84.0,0
2025-03-22,03:17:02,Saturday,0.0,12.0,0
2025-03-22,03:17:08,Saturday,2.7,148.0,0
2025-03-22,03:17:14,Saturday,4.1,0.0,0
2025-03-22,03:17:20,Saturday,1.4,24.0,0
2025-03-22,03:17:26,Saturday,0.0,0.0,0
2025-03-22,03:17:32,Saturday,4.2,48.0,0
2025-03-22,03:17:38,Saturday,1.2,8.0,0
2025-03-22,03:17:44,Saturday,0.0,20.0,0
2025-03-22,03:17:50,Saturday,0.0,12.0,0
2025-03-22,03:17:57,Saturday,2.6,16.0,0
2025-03-22,03:18:03,Saturday,2.8,16.0,0
2025-03-22,03:18:09,Saturday,1.4,132.0,0
2025-03-22,03:18:15,Saturday,0.0,0.0,0
2025-03-22,03:18:21,Saturday,0.0,16.0,0
2025-03-22,03:18:27,Saturday,2.4,0.0,0
2025-03-22,03:18:33,Saturday,2.4,120.0,0
2025-03-22,03:18:39,Saturday,2.5,120.0,0
2025-03-22,03:18:45,Saturday,1.3,232.0,0
2025-03-22,03:18:52,Saturday,4.2,28.0,0
2025-03-22,03:18:58,Saturday,0.0,4.0,0
2025-03-22,03:19:04,Saturday,0.0,112.0,0
2025-03-22,03:19:10,Saturday,1.2,8.0,0
2025-03-22,03:19:16,Saturday,0.0,68.0,0
2025-03-22,03:19:22,Saturday,0.0,4.0,0
2025-03-22,03:19:28,Saturday,2.7,76.0,0
2025-03-22,03:19:34,Saturday,0.0,104.0,0
2025-03-22,03:19:40,Saturday,1.4,48.0,0
2025-03-22,03:19:46,Saturday,0.0,0.0,0
2025-03-22,03:19:53,Saturday,0.0,24.0,0
2025-03-22,03:19:59,Saturday,0.0,52.0,0
2025-03-22,03:20:05,Saturday,0.0,384.0,0
2025-03-22,03:20:11,Saturday,1.4,0.0,0
2025-03-22,03:20:17,Saturday,2.7,48.0,0
2025-03-22,03:20:23,Saturday,0.0,552.0,0
2025-03-22,03:20:29,Saturday,0.0,116.0,0
2025-03-22,03:20:35,Saturday,0.0,0.0,0
2025-03-22,03:20:41,Saturday,5.2,12.0,0
2025-03-22,03:20:48,Saturday,0.0,0.0,0
2025-03-22,03:20:54,Saturday,0.0,12.0,0
2025-03-22,03:21:00,Saturday,8.2,148.0,0
2025-03-22,03:21:06,Saturday,0.0,28.0,0
2025-03-22,03:21:12,Saturday,1.4,188.0,0
2025-03-22,03:21:18,Saturday,49.4,172.0,0
2025-03-22,03:21:24,Saturday,3.9,256.0,0
2025-03-22,03:21:30,Saturday,2.4,300.0,0
2025-03-22,03:21:36,Saturday,0.0,108.0,0
2025-03-22,03:21:56,Saturday,49.3,1924.0,0
2025-03-22,03:22:03,Saturday,13.3,208.0,0
2025-03-22,03:22:09,Saturday,21.1,236.0,0
2025-03-22,03:22:15,Saturday,17.9,8.0,0
2025-03-22,03:22:21,Saturday,8.1,0.0,0
2025-03-22,03:22:27,Saturday,15.7,180.0,0
2025-03-22,03:22:33,Saturday,17.4,12.0,0
2025-03-22,03:22:39,Saturday,44.2,72.0,0
2025-03-22,03:22:45,Saturday,7.1,24.0,0
2025-03-22,03:22:51,Saturday,9.1,12.0,0
2025-03-22,03:22:58,Saturday,14.3,156.0,0
2025-03-22,03:23:04,Saturday,8.2,24.0,0
2025-03-22,03:23:10,Saturday,0.0,584.0,0
2025-03-22,03:23:16,Saturday,0.0,4.0,0
2025-03-22,03:23:22,Saturday,0.0,64.0,0
2025-03-22,03:23:28,Saturday,0.0,84.0,0
2025-03-22,03:23:34,Saturday,15.4,84.0,0
2025-03-22,13:07:11,Saturday,100.0,7784.5,0
2025-03-22,13:07:18,Saturday,44.9,1245.5,0
2025-03-22,13:07:25,Saturday,50.7,452.0,0
2025-03-22,13:07:31,Saturday,46.2,4552.0,0
2025-03-22,13:07:37,Saturday,5.3,164.0,0
2025-03-22,13:07:43,Saturday,100.0,7403.0,0
2025-03-22,13:07:49,Saturday,98.6,2771.0,0
2025-03-22,13:07:55,Saturday,22.4,804.0,0
2025-03-22,13:08:01,Saturday,22.9,100.0,0
2025-03-22,13:08:07,Saturday,16.5,1057.5,0
2025-03-22,13:08:13,Saturday,19.7,520.0,0
2025-03-22,13:08:20,Saturday,8.0,144.0,0
2025-03-22,13:08:26,Saturday,0.0,204.0,0
2025-03-22,13:08:32,Saturday,8.0,32.0,0
2025-03-22,13:08:38,Saturday,5.5,40.0,0
2025-03-22,13:08:44,Saturday,1.3,60.0,0
2025-03-22,13:08:50,Saturday,2.5,40.0,0
2025-03-22,13:08:56,Saturday,0.0,4.0,0
2025-03-22,13:09:02,Saturday,9.2,104.0,0
2025-03-22,13:09:08,Saturday,0.0,0.0,0
2025-03-22,13:09:15,Saturday,1.2,60.0,0
2025-03-22,13:09:21,Saturday,1.4,0.0,0
2025-03-22,13:09:27,Saturday,1.4,44.0,0
2025-03-22,13:09:33,Saturday,1.6,0.0,0
2025-03-22,13:09:39,Saturday,0.0,68.0,0
2025-03-22,13:09:45,Saturday,1.4,0.0,0
2025-03-22,13:09:51,Saturday,0.0,0.0,0
2025-03-22,13:09:57,Saturday,0.0,0.0,0
2025-03-22,13:10:03,Saturday,1.4,0.0,0
2025-03-22,13:10:09,Saturday,24.4,12.0,0
2025-03-22,13:10:16,Saturday,7.1,28.0,0
2025-03-22,13:10:22,Saturday,25.6,44.0,0
2025-03-22,13:10:28,Saturday,5.0,0.0,0
2025-03-22,13:10:34,Saturday,5.3,432.0,0
2025-03-22,13:10:40,Saturday,11.9,28.0,0
2025-03-22,13:10:46,Saturday,5.0,56.0,0
2025-03-22,13:10:52,Saturday,31.3,4.0,0
2025-03-22,13:10:58,Saturday,15.2,44.0,0
2025-03-22,13:11:04,Saturday,14.7,124.0,0
2025-03-22,13:11:11,Saturday,25.0,96.0,0
2025-03-22,13:11:17,Saturday,15.5,28.0,0
2025-03-22,13:11:23,Saturday,22.9,236.0,0
2025-03-22,13:11:29,Saturday,1.3,104.0,0
2025-03-22,13:11:35,Saturday,12.0,124.0,0
2025-03-22,13:11:41,Saturday,16.5,192.0,0
2025-03-22,13:11:47,Saturday,10.8,72.0,0
2025-03-22,13:11:53,Saturday,0.0,352.0,0
2025-03-22,13:17:47,Saturday,13.5,68.0,0
2025-03-22,13:17:53,Saturday,1.4,80.0,0
2025-03-22,13:17:59,Saturday,0.0,0.0,0
